example_id,baseline_correct,treatment_correct,baseline_chars,treatment_chars,baseline_tokens,treatment_tokens,baseline_parsed,treatment_parsed
gsm8k-test-00056-0dd2f034,0,0,3,3,172,173,2,2
gsm8k-test-00057-08b78a95,0,0,111,112,288,288,5000,5000
gsm8k-test-00058-92f2d98b,0,0,100,86,288,288,51.25,52.00
gsm8k-test-00059-647821b4,0,0,109,109,288,288,67,67
gsm8k-test-00060-97d5219c,0,0,86,86,288,288,2,2
gsm8k-test-00061-53d5c3c6,1,1,93,83,288,288,1430,1430
gsm8k-test-00062-b8ef5dec,0,0,8,35,265,288,10510,11597
gsm8k-test-00063-09a1f6f4,1,0,6,5,263,183,1596,966
gsm8k-test-00064-b5dd77cc,0,0,4,11,196,263,25,576
gsm8k-test-00065-78eb7e05,0,0,5,4,138,152,7.5,12
gsm8k-test-00066-60b3bdde,0,0,4,143,169,288,40,84
gsm8k-test-00067-213b455e,0,0,5,109,262,288,650,35
gsm8k-test-00068-c3a98d97,0,0,4,4,123,167,12,12
gsm8k-test-00069-1b7fa8e5,1,1,4,4,171,153,60,60
gsm8k-test-00070-a1e05c15,0,0,102,99,288,288,195,8
gsm8k-test-00071-a80a2f35,1,1,4,4,134,147,60,60
gsm8k-test-00072-bfd3566a,1,0,5,5,262,138,221,462
gsm8k-test-00073-039b584a,0,0,116,4,288,190,2,45
gsm8k-test-00074-3648f6a3,0,0,7,7,264,220,86.61,86.15
gsm8k-test-00075-b4e8c56a,0,0,5,5,161,188,7.5,7.5
gsm8k-test-00076-d773e795,0,0,3,3,260,260,1,8
gsm8k-test-00077-100d7f43,1,1,5,5,166,239,100,100
gsm8k-test-00078-96b496fa,0,1,3,3,174,189,3,6
gsm8k-test-00079-40c374ea,0,0,90,90,288,288,100,100
gsm8k-test-00080-7d080509,0,0,4,4,219,219,14,14
gsm8k-test-00081-5bcf7f55,0,0,98,100,288,288,21,23
gsm8k-test-00082-ad6ac817,1,1,6,5,231,186,623,623
gsm8k-test-00083-ab4a06b6,0,0,90,92,288,288,8,8
gsm8k-test-00084-44dd3e21,0,1,3,4,260,149,7,15
gsm8k-test-00085-94c5beec,1,0,4,5,261,140,44,484
gsm8k-test-00086-52e0be8f,1,1,4,4,106,116,22,22
gsm8k-test-00087-00d8d602,0,0,8,107,104,288,833.12,600
gsm8k-test-00088-4240e2d1,1,1,6,6,150,150,8000,8000
gsm8k-test-00089-016b7006,0,1,4,4,202,136,18,24
gsm8k-test-00090-ad1d1965,0,1,102,5,288,262,200,225
gsm8k-test-00091-b921f344,0,0,93,4,288,261,2,10
gsm8k-test-00092-30e10116,0,0,98,102,288,288,5,5
gsm8k-test-00093-d3628897,0,0,75,6,288,263,11.678,41.8
gsm8k-test-00094-7725c031,0,0,5,5,197,216,168,168
gsm8k-test-00095-91d8efcf,0,0,4,87,180,288,67,5
gsm8k-test-00096-e622abbc,1,0,3,99,260,288,3,2
gsm8k-test-00097-a91423e8,0,0,3,3,260,160,3,3
gsm8k-test-00098-20392eb4,0,0,4,99,147,288,30,3
gsm8k-test-00099-06d0657a,0,1,4,4,139,189,40,58
gsm8k-test-00100-1c606349,0,0,5,5,262,262,685,700
gsm8k-test-00101-5553251d,0,0,91,92,288,288,20,20
gsm8k-test-00102-fecc3d4d,0,0,120,108,288,288,21,23
gsm8k-test-00103-7d885e09,1,0,5,4,99,161,140,46
gsm8k-test-00104-5fc2275d,1,0,5,6,226,215,500,2250
gsm8k-test-00105-f21bbb96,1,1,110,110,288,288,20,20
gsm8k-test-00106-f36cf3d6,0,0,96,87,288,288,3,4
gsm8k-test-00107-39a2f8a7,0,0,4,4,261,178,30,30
gsm8k-test-00108-f0c0c69e,0,1,4,4,261,217,58,50
gsm8k-test-00109-5e198a31,0,0,93,86,288,288,3.00,3.00
gsm8k-test-00110-01bfcc0e,1,1,4,4,185,170,45,45
gsm8k-test-00111-428761e2,0,0,5,3,262,240,128,8
gsm8k-test-00112-8eab1517,0,0,102,131,288,288,12,2
gsm8k-test-00113-ff97715a,1,0,4,101,123,288,25,6
gsm8k-test-00114-c149b54f,0,1,109,3,288,260,36,6
gsm8k-test-00115-f99c92a7,0,0,5,6,262,262,180,180
gsm8k-test-00116-b7a22d59,0,0,5,5,160,160,220,220
gsm8k-test-00117-8a7ef077,1,0,100,87,288,288,360,60
gsm8k-test-00118-b9cb8545,1,1,3,3,126,125,4,4
gsm8k-test-00119-7df75d2b,0,0,8,32,265,287,100000,59340.66
gsm8k-test-00120-4a23b3ce,0,1,4,5,76,124,16,240
gsm8k-test-00121-b3961d14,1,1,4,4,160,134,27,27
gsm8k-test-00122-7a79da6f,0,0,4,4,164,117,46,29
gsm8k-test-00123-1cccf292,1,0,4,92,261,288,50,5
gsm8k-test-00124-67aad8ea,0,0,4,4,261,163,90,60
gsm8k-test-00125-6681b8e0,1,0,113,4,288,261,10,11
gsm8k-test-00126-d0798145,1,1,4,4,261,118,82,82
gsm8k-test-00127-31701746,1,0,5,87,174,288,120,20
gsm8k-test-00128-02ab5436,0,0,5,5,262,262,910,900
gsm8k-test-00129-88351235,0,0,34,87,288,288,60000,2
gsm8k-test-00130-1c64800f,1,0,4,72,82,288,30,3
gsm8k-test-00131-a6720346,1,1,5,5,145,146,940,940
gsm8k-test-00132-66ea530a,0,1,90,4,288,261,6,60
gsm8k-test-00133-97d15f62,1,1,4,4,261,129,13,13
gsm8k-test-00134-cbe97dcd,0,0,91,92,288,288,48,15
gsm8k-test-00135-c9fe583e,0,0,78,78,288,288,55,5
gsm8k-test-00136-da2442d2,1,0,23,113,201,288,6,27
gsm8k-test-00137-8f20370a,0,0,86,7,288,264,20.0,24.00
gsm8k-test-00138-b1d6f8ed,0,0,108,3,288,143,75,5
gsm8k-test-00139-dceb7c73,0,0,5,40,140,288,2.5,4
gsm8k-test-00140-09a8532e,1,1,4,4,150,154,20,20
gsm8k-test-00141-cdf3f31e,0,0,3,5,260,262,4,350
gsm8k-test-00142-e522e401,1,1,5,5,150,157,140,140
gsm8k-test-00143-a608c8d1,0,0,91,92,288,288,16.50,15.00
gsm8k-test-00144-8f2ecd57,0,0,4,5,196,246,65,231
gsm8k-test-00145-804b6b67,0,1,6,6,263,245,1000,4000
gsm8k-test-00146-aa8117eb,0,0,69,5,288,262,6000,500
gsm8k-test-00147-72c96b49,0,1,4,4,154,179,15,75
gsm8k-test-00148-7c1ba632,0,0,4,4,261,134,14,14
gsm8k-test-00149-a6cdbdde,1,0,4,141,174,288,16,48
gsm8k-test-00150-3a8bfcb6,0,0,27,14,278,264,2160,46.6
gsm8k-test-00151-3080714d,0,1,6,3,174,228,2.25,5
gsm8k-test-00152-e5f03336,1,0,3,112,178,288,4,0.10
gsm8k-test-00153-26d986ff,0,0,4,4,154,116,28,39
gsm8k-test-00154-4e332330,0,0,101,106,288,288,17,1
gsm8k-test-00155-0920fbd0,0,0,64,13,288,264,3600,2040
gsm8k-test-00156-3ca0e746,1,1,6,6,184,180,1400,1400
gsm8k-test-00157-4b3f3583,0,0,5,5,262,200,140,100
gsm8k-test-00158-dfa1025f,1,1,4,4,261,208,34,34
gsm8k-test-00159-b776409e,0,0,112,112,288,288,6,6
gsm8k-test-00160-8f6e9905,0,0,96,95,288,288,17,7
gsm8k-test-00161-b8c462ea,0,1,4,4,261,230,19,32
gsm8k-test-00162-a62879f4,0,0,3,5,260,178,5,164
gsm8k-test-00163-6b1d4f92,0,0,94,94,288,288,3,3
gsm8k-test-00164-bee14fca,1,0,4,4,119,116,15,90
gsm8k-test-00165-af00da18,1,1,4,4,134,132,77,77
gsm8k-test-00166-d351c7c5,1,1,3,3,260,260,5,5
gsm8k-test-00167-32c3bf9f,0,0,32,95,273,288,3,6
gsm8k-test-00168-fc19f1bb,1,1,4,4,261,224,18,18
gsm8k-test-00169-a9e03f1a,0,0,55,84,288,288,20,10
gsm8k-test-00170-88bc8309,0,0,119,119,288,288,25,25
gsm8k-test-00171-9ba6bc62,0,0,6,99,151,288,1170,9
gsm8k-test-00172-a1f065b6,0,0,4,4,199,260,35,43
gsm8k-test-00173-26f01bcc,1,1,7,7,236,222,18000,18000
gsm8k-test-00174-b5f82fe7,0,0,4,14,145,264,90,390
gsm8k-test-00175-7588f7e8,0,0,3,4,260,261,5,24
gsm8k-test-00176-e8aa7518,0,0,88,83,288,288,80,80
gsm8k-test-00177-55091194,0,0,7,7,263,170,1000,5100
gsm8k-test-00178-e2c3edfe,0,0,84,89,288,288,1,40
gsm8k-test-00179-fb405227,1,1,101,5,288,193,130,130
gsm8k-test-00180-be2e53f5,0,1,94,4,288,261,4,20
gsm8k-test-00181-16b37304,0,0,5,63,262,288,100,4
gsm8k-test-00182-399133d2,0,0,95,4,288,242,2,18
gsm8k-test-00183-f29cc498,0,0,92,94,288,288,16,400
gsm8k-test-00184-deb7c401,0,0,3,5,260,262,1,2
gsm8k-test-00185-85ff4f96,1,1,4,127,261,288,30,30
gsm8k-test-00186-585a3e2e,0,0,7,5,263,262,36.67,110
gsm8k-test-00187-82fc37f3,0,0,10,8,196,210,106.1208,100.50
gsm8k-test-00188-56680f20,0,0,4,5,174,227,40,200
gsm8k-test-00189-e8c1a0f1,0,0,7,7,189,264,28.58,11.50
gsm8k-test-00190-fc3ce910,0,0,104,112,288,288,18,2
gsm8k-test-00191-dfe05fec,1,1,3,3,170,164,5,5
gsm8k-test-00192-234cb247,0,0,99,88,288,288,24,24
gsm8k-test-00193-83a1d4f5,0,0,109,121,288,288,18,6
gsm8k-test-00194-236ac935,1,0,4,3,210,122,10,0
gsm8k-test-00195-f63234ba,1,0,4,104,212,288,12,0.3
gsm8k-test-00196-a77ce578,1,0,5,109,165,288,120,40
gsm8k-test-00197-47ddcefb,1,1,6,6,128,122,6277,6277
gsm8k-test-00198-bd499252,0,0,5,5,207,169,220,220
gsm8k-test-00199-7ca0e77e,0,0,114,116,288,288,10000,15000
gsm8k-test-00200-8c508389,1,1,4,4,168,152,55,55
gsm8k-test-00201-6425d554,0,0,72,84,288,288,5408000,106200
gsm8k-test-00202-5c490a76,1,0,119,126,288,288,100,50
gsm8k-test-00203-d73099f3,0,0,4,4,175,169,27,21
gsm8k-test-00204-ca83378f,0,0,4,4,261,261,47,47
gsm8k-test-00205-844d7a17,0,0,5,5,262,262,120,120
gsm8k-test-00206-533a1de2,1,0,69,101,286,288,860,220
gsm8k-test-00207-2c1d56da,0,1,7,6,264,177,32.31,2600
gsm8k-test-00208-1aba011a,0,1,92,4,288,261,4,76
gsm8k-test-00209-5d6ed708,0,0,96,31,288,273,100,20
gsm8k-test-00210-0f4d92e8,1,0,4,4,261,261,10,14
gsm8k-test-00211-a5760663,1,1,3,3,159,159,4,4
gsm8k-test-00212-5e156993,1,1,3,3,167,166,5,5
gsm8k-test-00213-68c5c899,1,1,5,5,218,199,250,250
gsm8k-test-00214-13ddeb54,0,0,106,110,288,288,4,4
gsm8k-test-00215-a0e2ddc5,0,0,100,90,288,288,10,320.00
gsm8k-test-00216-2572d479,1,1,5,5,171,207,220,220
gsm8k-test-00217-1cadaca3,0,0,98,105,288,288,4,7
gsm8k-test-00218-294f2782,0,0,4,4,261,261,21,21
gsm8k-test-00219-7aca3c05,0,0,5,4,262,261,251,20
gsm8k-test-00220-ca8264c5,1,0,94,119,288,288,70,5
gsm8k-test-00221-e1285b19,1,1,4,4,261,216,90,90
gsm8k-test-00222-38359054,1,1,5,5,139,122,140,140
gsm8k-test-00223-25b2ef0c,0,0,94,94,288,288,15000,15000
gsm8k-test-00224-1ad54880,1,0,5,99,262,288,180,30
gsm8k-test-00225-696619ca,0,0,120,120,288,288,6,6
gsm8k-test-00226-d58e5838,0,0,4,8,152,264,44,46.67
gsm8k-test-00227-59892b16,0,1,105,6,288,263,5,9.00
gsm8k-test-00228-b26cfbf5,0,0,5,5,262,252,1.5,1.5
gsm8k-test-00229-08067583,0,0,3,3,189,225,0,0
gsm8k-test-00230-74b1d6c6,0,0,71,91,288,288,1234567890,12
gsm8k-test-00231-56e4a8f3,1,1,4,4,62,252,50,50
gsm8k-test-00232-1420b7a3,1,0,4,5,261,124,75,150
gsm8k-test-00233-3024e362,0,0,103,106,288,288,36,36
gsm8k-test-00234-393b9928,0,0,102,139,288,288,14,14
gsm8k-test-00235-7716dfeb,0,0,114,116,288,288,20,20
gsm8k-test-00236-029ef1d7,0,0,4,5,187,151,25,125
gsm8k-test-00237-766b9e06,0,0,100,102,288,288,9,10
gsm8k-test-00238-664927c9,1,0,100,102,288,288,68,20
gsm8k-test-00239-819a8794,0,0,5,5,262,262,300,300
gsm8k-test-00240-344f259f,0,0,102,4,288,261,6,42
gsm8k-test-00241-8e2693d6,1,1,3,3,57,82,6,6
gsm8k-test-00242-38fe85a0,0,0,92,6,288,202,10,1.67
gsm8k-test-00243-30861a3b,0,0,4,82,152,288,43,15
gsm8k-test-00244-8a18ea1f,0,0,4,3,238,175,18,3
gsm8k-test-00245-a02a9dd4,0,1,4,3,180,182,14,7
gsm8k-test-00246-10b3cef0,0,1,115,7,288,264,1500,27000
gsm8k-test-00247-58ec0a59,0,0,7,7,90,90,31.33,31.33
gsm8k-test-00248-b4110915,0,1,94,107,288,288,1,300
gsm8k-test-00249-48dde2dd,0,0,5,5,262,262,3.5,560
gsm8k-test-00250-545e9626,0,0,3,6,260,263,7,12.5
gsm8k-test-00251-58585cba,0,0,5,5,184,171,122,131
gsm8k-test-00252-376e7200,0,0,4,124,196,288,42,15
gsm8k-test-00253-c754baca,0,0,94,100,288,288,3,1
gsm8k-test-00254-a0a9019b,0,0,98,95,288,288,30,30
gsm8k-test-00255-019f631a,0,0,4,4,186,197,40,16
gsm8k-test-00256-135430c8,0,0,7,4,264,261,43.00,44
gsm8k-test-00257-f1dee5a7,0,0,8,15,241,266,56000,56000
gsm8k-test-00258-4e414936,1,1,6,6,194,151,6.00,6.00
gsm8k-test-00259-1996a72d,0,0,15,4,264,261,76,64
gsm8k-test-00260-2e9bb88c,0,1,3,4,260,169,6,11
gsm8k-test-00261-e147817f,0,0,7,137,264,288,93.00,93
gsm8k-test-00262-7065494b,1,1,6,5,249,262,270,270
gsm8k-test-00263-4c305368,0,0,99,100,288,288,6,6
gsm8k-test-00264-8ee7c870,1,1,5,5,224,148,400,400
gsm8k-test-00265-c966edda,0,0,8,9,265,266,500,409500
gsm8k-test-00266-59c1f5c9,0,0,9,8,266,210,000,218000
gsm8k-test-00267-0133408a,0,0,4,12,261,262,15,20
gsm8k-test-00268-60095127,0,0,101,104,288,288,5,75
gsm8k-test-00269-df394468,1,0,148,100,288,288,4,16
gsm8k-test-00270-d2b09f67,0,1,5,5,175,142,912,762
gsm8k-test-00271-2baf04e3,0,0,88,104,288,288,192,2
gsm8k-test-00272-cbc64e44,1,1,6,6,94,92,5.00,5.00
gsm8k-test-00273-c8d0ff7f,0,0,5,96,93,288,300,1800
gsm8k-test-00274-2ecb025c,1,1,6,110,221,288,3200,3200
gsm8k-test-00275-a9798075,0,0,5,5,262,262,162,198
gsm8k-test-00276-10832215,0,0,4,4,261,253,16,20
gsm8k-test-00277-1e0e64c0,0,1,102,11,288,246,1.1,4.0
gsm8k-test-00278-081f7a29,1,0,4,4,261,261,40,10
gsm8k-test-00279-213f4990,0,0,3,3,224,178,3,0
gsm8k-test-00280-4f749fa9,1,0,3,129,260,288,7,5
gsm8k-test-00281-f0f8e9d4,0,0,6,6,220,190,5600,5600
gsm8k-test-00282-90afcc9e,0,0,4,101,261,288,75,3
gsm8k-test-00283-400a07fc,0,0,111,6,288,263,25,12.5
gsm8k-test-00284-1d32c918,0,0,3,5,260,262,6,240
gsm8k-test-00285-46ce7073,1,1,4,4,181,213,21,21
gsm8k-test-00286-de3c8255,1,1,4,4,177,135,90,90
gsm8k-test-00287-3feaff94,0,0,4,4,139,139,50,40
gsm8k-test-00288-18becb25,1,1,3,3,260,148,3,3
gsm8k-test-00289-3fda51ab,0,0,3,3,187,143,4,4
gsm8k-test-00290-f2e19746,0,0,3,5,173,135,4,3.9
gsm8k-test-00291-6455dc9a,1,0,3,3,196,188,2,5
gsm8k-test-00292-419f9f70,0,0,83,4,288,173,60,90
gsm8k-test-00293-a6d3a04e,0,0,76,4,288,261,18,82
gsm8k-test-00294-f8f4a5b2,1,1,3,3,68,134,3,3
gsm8k-test-00295-003c5304,0,0,5,5,164,159,300,300
gsm8k-test-00296-33128756,0,0,4,4,220,191,42,42
gsm8k-test-00297-f96abc95,1,1,4,4,142,142,55,55
gsm8k-test-00298-67ab79f9,0,0,5,117,103,288,400,200
gsm8k-test-00299-76764db7,1,0,7,84,253,288,31800,318
gsm8k-test-00300-5f3fce9a,1,0,4,134,261,288,78,11
gsm8k-test-00301-edbdd8ce,0,0,4,4,229,159,34,34
gsm8k-test-00302-df302425,0,0,105,106,288,288,50,50
gsm8k-test-00303-786a70bb,0,0,7,7,143,235,1600,1900
gsm8k-test-00304-68e00b76,1,0,6,6,155,190,3200,3500
gsm8k-test-00305-7f7b2720,0,0,79,74,288,288,50,1000
gsm8k-test-00306-699de56a,1,1,4,4,146,130,10,10
gsm8k-test-00307-336b088d,0,0,3,3,124,120,4,2
gsm8k-test-00308-d359a2ad,0,0,4,87,237,288,15,11
gsm8k-test-00309-c4f6c8fb,1,0,3,4,260,181,8,15
gsm8k-test-00310-4e0a97e7,0,0,6,6,263,241,4800,4000
gsm8k-test-00311-a18a4905,0,0,5,4,165,166,105,35
gsm8k-test-00312-c8ba5472,0,0,97,97,288,288,30,30
gsm8k-test-00313-fc44241c,0,0,4,7,261,264,69,15000
gsm8k-test-00314-ef9f2747,0,0,79,103,288,288,52.5,105
gsm8k-test-00315-bbfd677d,0,0,4,4,228,183,10,22
gsm8k-test-00316-bc1dbe13,0,0,28,4,277,259,2,56
gsm8k-test-00317-c6c20bbd,1,1,85,81,288,288,12,12
gsm8k-test-00318-07e68ddc,0,0,90,93,288,288,10,31
gsm8k-test-00319-3b4f71a7,1,0,4,5,205,221,15,675
gsm8k-test-00320-b1e510af,0,0,3,4,260,236,5,12
gsm8k-test-00321-532e7358,1,1,104,104,288,288,1,1
gsm8k-test-00322-d74c52a8,0,0,25,3,277,260,5.111111111111111,6
gsm8k-test-00323-015e90d2,0,0,6,6,263,245,1025,1070
gsm8k-test-00324-8e7f2ec3,0,0,4,5,110,103,10,2
gsm8k-test-00325-7566fab6,0,0,8,8,220,210,120000,120000
gsm8k-test-00326-2c58e20b,0,0,4,103,261,288,20,5
gsm8k-test-00327-91706fc7,0,0,82,82,288,288,14,14
gsm8k-test-00328-339cbe8f,0,0,11,8,263,265,500,10000
gsm8k-test-00329-ef88a9e1,0,0,105,89,288,288,17,7
gsm8k-test-00330-c801a0da,0,0,113,7,288,126,20,47.30
gsm8k-test-00331-d8d8a9ef,1,0,6,14,263,263,8400,15
gsm8k-test-00332-72ea6bb3,1,1,143,4,288,139,44,44
gsm8k-test-00333-d8ce2b79,0,0,3,3,125,109,0,0
gsm8k-test-00334-38f9608d,1,1,3,3,133,147,6,6
gsm8k-test-00335-622e753d,1,1,5,12,236,263,310,310
gsm8k-test-00336-dcb2cf7d,1,0,4,3,196,162,72,9
gsm8k-test-00337-be3835b7,1,1,3,3,260,124,1,1
gsm8k-test-00338-068ad465,1,1,4,4,182,184,60,60
gsm8k-test-00339-a3be434b,0,0,4,5,254,253,60,120
gsm8k-test-00340-c275e3cc,1,1,136,113,288,288,4,4
gsm8k-test-00341-29793875,0,1,11,5,262,218,50,260
gsm8k-test-00342-88e42212,0,0,104,98,288,288,63,63
gsm8k-test-00343-a3594910,0,1,16,9,267,236,150000,180000
gsm8k-test-00344-68de5ac4,0,1,91,3,288,260,5,2
gsm8k-test-00345-d3d2d76a,1,1,5,5,152,156,310,310
gsm8k-test-00346-a17a2c99,0,0,102,95,288,288,16,432
gsm8k-test-00347-5cebe704,0,1,4,4,261,146,40,36
gsm8k-test-00348-bea5faee,1,1,4,116,175,288,10,10
gsm8k-test-00349-5d38ace0,1,0,6,5,263,262,2640,220
gsm8k-test-00350-693fc3e1,0,0,5,5,160,262,8.5,7.5
gsm8k-test-00351-afe82206,0,0,5,4,166,134,190,40
gsm8k-test-00352-088d10c0,1,0,4,4,142,80,21,10
gsm8k-test-00353-10b25717,0,0,5,127,204,288,250,6
gsm8k-test-00354-8205fb31,0,0,5,94,143,288,145,80
gsm8k-test-00355-63232b7f,0,0,109,110,288,288,6,6
gsm8k-test-00356-f97777ac,1,0,4,4,173,184,21,11
gsm8k-test-00357-dc1b264f,0,0,3,4,260,180,3,18
gsm8k-test-00358-6aaa36a1,0,0,5,8,193,264,399,23.75
gsm8k-test-00359-4b7297b4,0,0,19,32,259,288,4.333333333333333,6.66666666666666666666666666666
gsm8k-test-00360-422aec93,1,1,4,4,149,183,25,25
gsm8k-test-00361-de5d935c,0,0,79,92,288,288,60,6
gsm8k-test-00362-3e64aca4,0,0,4,4,261,136,14,14
gsm8k-test-00363-fe7b9c1b,0,0,84,32,288,288,5.86,2.85714285714285714285714285714
gsm8k-test-00364-bc996f49,0,0,90,91,288,288,43,43
gsm8k-test-00365-0daf43cf,0,0,108,108,288,288,6,6
gsm8k-test-00366-b85ad629,0,0,114,114,288,288,42,42
gsm8k-test-00367-317f53c0,1,0,4,4,261,261,19,11
gsm8k-test-00368-5efe7b03,0,0,4,6,100,175,10,7.33
gsm8k-test-00369-ab96521f,0,0,99,28,288,278,5,1208
gsm8k-test-00370-6563cded,0,0,5,5,195,181,480,480
gsm8k-test-00371-dc921eb9,0,0,4,3,133,106,42,8
gsm8k-test-00372-7810cb6f,1,1,109,3,288,217,5,5
gsm8k-test-00373-78986ed1,1,0,8,15,197,233,240000,0.4
gsm8k-test-00374-ea246ed4,0,0,3,3,184,202,1,3
gsm8k-test-00375-afda6a08,0,0,5,5,262,262,1.5,1.5
gsm8k-test-00376-bece7c4c,0,0,4,4,261,261,10,10
gsm8k-test-00377-22b59e85,0,0,4,4,148,261,40,40
gsm8k-test-00378-b30784db,0,1,4,4,80,180,25,15
gsm8k-test-00379-75cbd45b,1,1,125,84,288,288,21,21
gsm8k-test-00380-c46455f6,0,0,6,7,205,195,2.90,14.55
gsm8k-test-00381-915ed5fe,1,0,15,108,262,288,67,5
gsm8k-test-00382-9889f9e8,0,0,5,5,186,262,220,150
gsm8k-test-00383-93da1c54,0,0,3,6,191,175,4,0.50
gsm8k-test-00384-74d27fae,0,0,6,15,157,182,5.12,4.64
gsm8k-test-00385-2b2d708c,0,0,82,82,288,288,50,50
gsm8k-test-00386-bea7c0fc,1,1,109,110,288,288,80,80
gsm8k-test-00387-8a439a3a,0,0,86,95,288,288,1,6
gsm8k-test-00388-be61bdc3,1,1,4,4,148,153,88,88
gsm8k-test-00389-27deb21e,0,0,4,90,69,288,28,30
gsm8k-test-00390-710adcab,0,0,12,16,263,270,144,72
gsm8k-test-00391-c54bbb7f,0,0,7,4,264,261,137.5,75
gsm8k-test-00392-c1f3e804,0,0,107,118,288,288,24,10
gsm8k-test-00393-821ba4d3,0,0,4,19,188,276,25,33.33333333333333
gsm8k-test-00394-d08bed33,1,1,4,4,261,176,92,92
gsm8k-test-00395-c459a67c,0,0,91,108,288,288,20,4
gsm8k-test-00396-5012767a,0,0,85,83,288,288,4,1
gsm8k-test-00397-3d994447,1,1,4,4,183,181,25,25
gsm8k-test-00398-661e0315,0,0,4,5,187,196,48,174
gsm8k-test-00399-bfa0079a,1,0,4,3,166,260,12,7
gsm8k-test-00400-866167cc,1,0,100,91,288,288,48,2
gsm8k-test-00401-74ce8d7c,0,0,100,95,288,288,50,6
gsm8k-test-00402-5a23c894,0,0,3,3,260,237,2,6
gsm8k-test-00403-b201eb64,0,0,9,5,266,192,171000,648
gsm8k-test-00404-cb156ee5,0,0,7,4,142,155,11.67,35
gsm8k-test-00405-b6ce335d,0,0,5,5,258,250,200,200
